City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,xilin hot,43.9667,116.0333,18.03,53,0,2.47,CN,1689535170
83,papao,-17.75,-149.55,26.82,66,3,0.6,PF,1689535170
84,susuman,62.7833,148.1667,16.08,74,96,2.26,RU,1689535171
85,rakops,-21.0167,24.3333,15.05,35,60,1.18,BW,1689535171
86,fortuna,40.5982,-124.1573,18.14,85,40,4.63,US,1689535171
87,chilecito,-29.1619,-67.4974,12.87,38,0,4.34,AR,1689535172
88,baukau,51.5526,7.2042,22.73,57,87,2.68,DE,1689535172
89,keflavik,64.0049,-22.5624,13.95,54,0,9.77,IS,1689535173
90,mossel bay,-34.1831,22.146,10.96,76,100,0.22,ZA,1689535173
91,carnarvon,-24.8667,113.6333,15.64,57,0,5.4,AU,1689535085
92,lepsy,46.235,78.9456,26.58,28,0,2.77,KZ,1689535174
93,utrik,11.2278,169.8474,27.69,80,53,6.97,MH,1689534917
94,ta`u,-14.2336,-169.5144,26.28,81,77,7.56,AS,1689535175
95,constantia,44.1833,28.65,23.38,67,0,4.7,RO,1689534987
96,puerto natales,-51.7236,-72.4875,6.25,56,75,7.72,CL,1689534894
97,port hedland,-20.3167,118.5667,15.03,44,5,4.12,AU,1689535176
98,rosario do sul,-30.2583,-54.9142,13.92,62,76,3.42,BR,1689535176
99,invercargill,-46.4,168.35,8.31,88,53,6.13,NZ,1689535079
100,nadym,65.5333,72.5167,13.03,64,14,5.59,RU,1689535177
101,caarapo,-22.6342,-54.8222,18.87,49,73,1.28,BR,1689535178
102,bubaque,11.2833,-15.8333,27.8,78,100,7.33,GW,1689535178
103,svetlyy,54.675,20.1347,19.03,76,97,0.66,RU,1689535178
104,ushuaia,-54.8,-68.3,3.81,65,20,1.54,AR,1689534895
105,udachny,66.4167,112.4,10.25,57,99,3.34,RU,1689535101
106,sakaiminato,35.55,133.2333,25.99,73,0,1.03,JP,1689535179
107,bontang,0.1333,117.5,24.75,91,100,3.87,ID,1689535180
108,tikrit,34.6071,43.6782,36.82,11,0,4.3,IQ,1689535180
109,badger,64.8,-147.5333,20.07,68,75,1.54,US,1689534912
110,anadyr,64.75,177.4833,19.28,72,0,1.79,RU,1689535181
111,saint-pierre,-21.3393,55.4781,22.82,73,0,7.72,RE,1689535104
112,huarmey,-10.0681,-78.1522,23.92,68,6,4.91,PE,1689535182
113,st. john's,47.5649,-52.7093,26.2,68,75,7.2,CA,1689535182
114,sabha,27.0377,14.4283,32.58,14,14,3.11,LY,1689535187
115,dudinka,69.4058,86.1778,5.9,80,99,3.49,RU,1689534904
116,tamiahua,21.2667,-97.45,32.89,52,19,5.59,MX,1689535188
117,pljevlja,43.3333,19.3333,21.48,58,0,1.45,ME,1689535189
118,puerto ayora,-0.7393,-90.3518,30.98,90,60,4.02,EC,1689535084
119,port elizabeth,-33.918,25.5701,15.16,82,0,2.57,ZA,1689534911
120,lady frere,-31.7031,27.2329,12.03,41,15,2.95,ZA,1689535190
121,kalmunai,7.4167,81.8167,26.61,82,100,4.04,LK,1689535190
122,pacific grove,36.6177,-121.9166,25.67,78,0,4.92,US,1689535191
123,pangai,-19.8,-174.35,21.06,88,100,5.66,TO,1689535191
124,constitucion,-35.3333,-72.4167,12.09,49,100,2.93,CL,1689535192
125,west side highway,46.184,-122.9172,28.62,60,0,2.57,US,1689535192
126,limassol,34.675,33.0333,32.32,70,0,3.6,CY,1689535192
127,ust-tsilma,65.441,52.1498,17.07,84,30,1.11,RU,1689535193
128,gokarna,14.55,74.3167,26.42,84,100,3.87,IN,1689535193
129,san antonio de pale,-1.4014,5.6325,23.06,81,5,5.14,GQ,1689535194
130,ilebo,-4.3167,20.5833,26.76,34,6,0.51,CD,1689535194
131,lihue,21.9789,-159.3672,27.77,66,75,6.17,US,1689535081
132,puerto baquerizo moreno,-0.9,-89.6,27.55,74,40,5.66,EC,1689535195
133,fale old settlement,-9.3852,-171.2468,28.39,75,25,6.87,TK,1689535059
134,kostomuksha,64.571,30.5767,18.24,58,100,3.95,RU,1689535196
135,hawaiian paradise park,19.5933,-154.9731,26.13,79,40,2.06,US,1689535065
136,sanga-sanga,5.0725,119.7853,28.23,79,100,8.6,PH,1689535197
137,ulladulla,-35.35,150.4667,9.93,89,0,1.95,AU,1689535073
138,buala,-8.145,159.5921,26.34,84,100,1.95,SB,1689535198
139,necochea,-38.5473,-58.7368,8.53,72,79,7.07,AR,1689535198
140,gao,16.6362,1.637,37.49,25,72,3.62,ML,1689535198
141,zemio,5.0314,25.1361,23.66,75,17,0.57,CF,1689535080
142,lebu,-37.6167,-73.65,9.7,63,100,7.32,CL,1689535070
143,raufoss,60.7264,10.6172,14.32,83,64,4.93,NO,1689535199
144,kotel'nikovo,47.6317,43.1461,19.69,66,100,3.8,RU,1689535200
145,north bend,43.4065,-124.2243,25.69,77,40,7.2,US,1689535200
146,forster,-32.1667,152.5167,12.99,100,92,0.62,AU,1689535201
147,saijo,33.9167,133.1833,26.38,85,2,2.0,JP,1689534901
148,longyearbyen,78.2186,15.6401,9.91,81,0,5.66,SJ,1689534910
149,haiku-pauwela,20.9219,-156.3051,27.36,61,20,3.13,US,1689535202
150,shimla,31.1,77.1667,17.53,93,13,1.12,IN,1689535203
151,merizo village,13.2658,144.6691,26.31,78,98,5.52,GU,1689535203
152,vila velha,-20.3297,-40.2925,25.97,66,0,4.12,BR,1689535204
153,erenhot,43.6475,111.9767,24.02,26,28,5.19,CN,1689535204
154,saldanha,-33.0117,17.9442,13.49,90,100,2.6,ZA,1689535205
155,tura,25.5198,90.2201,24.65,90,100,2.14,IN,1689535077
156,ghadamis,30.1337,9.5007,35.84,8,0,4.35,LY,1689535205
157,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,100,1.0,RU,1689535056
158,heyuan,23.7333,114.6833,25.82,87,50,3.18,CN,1689535206
159,bela,25.9333,81.9833,30.91,64,100,3.58,IN,1689535207
160,ceerigaabo,10.6162,47.368,18.86,66,50,8.74,SO,1689535207
161,west island,-12.1568,96.8225,24.99,69,40,4.12,CC,1689535066
162,georgetown,5.4112,100.3354,27.96,82,20,1.03,MY,1689535101
163,sant lluis,39.8526,4.2594,26.22,94,75,3.6,ES,1689535208
164,chibougamau,49.9168,-74.3659,22.79,78,100,2.57,CA,1689535041
165,ben tre,10.2333,106.3833,25.95,86,100,4.17,VN,1689535209
